Announcement ID,Time,System Time,Keywords,Key Terms,Title,Summary,Link
1,"Sat, 1 Jun 2024 01:14:00 +0000",2024-06-03 14:59:56.408430,"merger, merge","KED INVESTOR ALERT, Kaskela, Keypath Education International, Inc., ASX, KED, Encourages Investors, PHILADELPHIA, Keypath Education International, Inc., ASX, KED, Keypath, Keypath","KED INVESTOR ALERT: Kaskela Law LLC Announces Investigation of Keypath Education International, Inc. (ASX: KED) and Encourages Investors to Contact the Firm","<p>PHILADELPHIA, June 1, 2024 /PRNewswire/ -- Kaskela Law LLC announces that it is investigating Keypath Education International, Inc. (ASX: KED) (""Keypath"") on behalf of the company's investors. On May 24, 2024, Keypath disclosed that it had entered into an Agreement and Plan of Merger...</p>",https://www.prnewswire.com/apac/news-releases/ked-investor-alert-kaskela-law-llc-announces-investigation-of-keypath-education-international-inc-asx-ked-and-encourages-investors-to-contact-the-firm-302161060.html
2,"Fri, 31 May 2024 13:37:00 +0000",2024-06-03 14:59:56.408430,acquisition,"Hello Health Group, HHG, Leading Investor, SINGAPORE, Hello Health Group, HHG, Singapore, 5i Ventures, HHG, 5iV","Hello Health Group (HHG) Welcomes 5i Ventures (5iV) as Leading Investor, Paving the Way for Future Growth","<p>SINGAPORE, May 31, 2024 /PRNewswire/ -- Hello Health Group (HHG), the leading digital health and wellness platform in Asia, is pleased to announce the successful closing of the Singapore-based 5i Ventures (5iV) acquisition of a major stake in HHG. Following the transaction, 5iV will be...</p>",https://www.prnewswire.com/apac/news-releases/hello-health-group-hhg-welcomes-5i-ventures-5iv-as-leading-investor-paving-the-way-for-future-growth-302160683.html
3,"Fri, 31 May 2024 13:19:00 +0000",2024-06-03 14:59:56.408430,partnership,"Huatu Education, National University of Malaysia Announce Partnership to, Create ASEAN College, BEIJING, Huatu Education Group, the National University of Malaysia, the ASEAN College, Huatu's, Datuk Ahmad","Huatu Education and National University of Malaysia Announce Partnership to Create ASEAN College, Ushering in a New Era of International Talent Development","<p>BEIJING, May 31, 2024 /PRNewswire/ -- On May 30, Huatu Education Group (Huatu) and the National University of Malaysia (UKM) formally signed an agreement to establish the ASEAN College at UKM. The signing ceremony took place at Huatu's headquarters with the attendance of Datuk Ahmad...</p>",https://www.prnewswire.com/apac/news-releases/huatu-education-and-national-university-of-malaysia-announce-partnership-to-create-asean-college-ushering-in-a-new-era-of-international-talent-development-302160677.html
4,"Thu, 30 May 2024 14:50:50 +0000",2024-06-03 14:59:57.769137,acquisition,Agilence Announces Acquisition,Agilence Announces Acquisition of IntelliQ to Extend Market Leadership for Loss Prevention Software,Strategic acquisition enables customers around the world to minimize shrink and maximize profitability,https://www.newswire.com/news/agilence-announces-acquisition-of-intelliq-to-extend-market-leadership-22348746
5,"Thu, 30 May 2024 14:00:02 +0000",2024-06-03 14:59:57.769137,"acquisition, acquire, acquires",Agilence Acquires,Agilence Acquires IntelliQ to Extend Market Leadership for Loss Prevention Software,Strategic acquisition enables customers around the world to minimize shrink and maximize profitability,https://www.newswire.com/news/agilence-acquires-intelliq-to-extend-market-leadership-for-loss-22347469
6,"Thu, 30 May 2024 13:00:09 +0000",2024-06-03 14:59:57.769137,investment,"Carbon Green Investments, Chirisa REDD Project, VCS GHG Program, CGI, Chirisa, VCS GHG Program",Carbon Green Investments Announces Withdrawal of Kariba REDD+ Project and Chirisa REDD Project From the VCS GHG Program,Carbon Green Investments (CGI) has announced its decision to withdraw the Kariba REDD+ Project and Chirisa REDD+ Project from the VCS GHG Program,https://www.newswire.com/news/carbon-green-investments-announces-withdrawal-of-kariba-redd-project-22347500
7,"Wed, 29 May 2024 19:00:02 +0000",2024-06-03 14:59:57.769137,"strategic partnership, partnership","Ellevest, HelloPrenup",Ellevest and HelloPrenup Forge Strategic Partnership to Demystify Prenuptial Agreements,,https://www.newswire.com/news/ellevest-and-helloprenup-forge-strategic-partnership-to-demystify-22340459
8,"Wed, 29 May 2024 11:00:08 +0000",2024-06-03 14:59:57.769137,partnership,"Vaillance Group Expand Partnership, the Living Security Unify",Living Security and Vaillance Group Expand Partnership to Identify Cybersecurity Risks and Mitigate Insider Threats,"Combining Vaillance's human risk vulnerability assessments and program development with the Living Security Unify Human Risk Management (HRM) Platform provides organizations with the resources to protect assets, people, and confidential data.",https://www.newswire.com/news/living-security-and-vaillance-group-expand-partnership-to-identify-22346284
9,"Wed, 22 May 2024 13:15:02 +0000",2024-06-03 14:59:57.769137,"strategic partnership, partnership","Proactive Worldwide, Proactive Worldwide's, CI Blueprint",Proactive Worldwide Announces Strategic Partnership With Academy of Competitive Intelligence LLC (ACI),"Proactive Worldwide's CI Blueprint® Course Joins ACI's CIP-I™ Certification Program, Enhancing Competitive Intelligence Training for Professionals at All Levels",https://www.newswire.com/news/proactive-worldwide-announces-strategic-partnership-with-academy-of-22337883
10,"Mon, 20 May 2024 16:00:03 +0000",2024-06-03 14:59:57.769137,"acquire, acquires",Enhance,GrowthZone Acquires JUNO to Enhance Member Engagement Capabilities,GrowthZone has expanded its portfolio of association management solutions to include an interactive community and learning application.,https://www.newswire.com/news/growthzone-acquires-juno-to-enhance-member-engagement-capabilities-22334230
